score,tourney_date
7-6 6-1,19900305
6-2 4-6 6-2,19900305
7-5 6-0,19900305
6-2 6-1,19900305
6-1 6-0,19900305
6-3 7-5,19900305
6-4 6-4,19900305
6-4 6-2,19900305
1-6 6-2 6-3,19900305
6-4 7-5,19900305
6-3 6-2,19900305
6-2 7-6,19900305
6-1 6-4,19900305
6-3 6-2,19900305
6-0 6-2,19900305
6-2 7-5,19900305
3-6 6-3 6-3,19900305
6-3 6-2,19900305
6-3 7-6,19900305
6-1 6-4,19900305
0-6 6-4 6-3,19900305
7-5 7-6,19900305
6-1 1-6 6-3,19900305
4-6 6-1 6-2,19900305
6-2 7-5,19900305
7-5 2-6 6-3,19900305
6-3 6-1,19900305
6-4 7-6,19900305
6-1 6-1,19900305
6-1 6-3,19900305
6-1 6-7 6-2,19900305
7-6 6-3,19901001
6-2 7-6,19901001
7-6 6-3,19901001
6-4 6-4,19901001
7-6 6-7 6-1,19901001
6-3 4-6 6-4,19901001
6-2 6-2,19901001
6-3 6-1,19901001
6-7 6-2 6-3,19901001
6-3 7-6,19901001
6-2 6-2,19901001
6-2 6-1,19901001
6-4 6-2,19901001
6-4 3-6 6-2,19901001
2-6 6-3 6-2,19901001
6-2 7-6,19901001
3-6 7-6 6-3,19901001
6-1 6-4,19901001
6-2 6-3,19901001
7-5 6-3,19901001
6-4 6-0,19901001
6-3 7-6,19901001
6-3 4-6 6-2,19901001
6-2 6-7 6-4,19901001
6-3 6-3,19901001
6-2 6-1,19901001
6-2 6-3,19901001
3-6 6-1 6-2,19901001
7-6 2-6 6-3,19901001
6-2 7-6,19901001
5-7 6-4 6-1,19901001
5-7 7-6 6-2,19900730
6-4 6-3,19900730
7-6 6-4,19900730
6-4 6-2,19900730
6-2 2-6 7-6,19900730
1-6 7-6 7-5,19900730
7-5 6-1,19900730
4-6 6-2 7-6,19900730
1-6 7-5 6-3,19900730
6-2 6-0,19900730
6-2 6-2,19900730
7-5 6-2,19900730
6-3 6-0,19900730
6-0 6-1,19900730
6-1 6-2,19900730
6-0 6-3,19900730
0-6 7-5 6-1,19900730
5-7 6-2 6-2,19900730
2-6 6-4 7-5,19900730
6-1 6-3,19900730
2-6 6-1 6-2,19900730
7-5 6-2,19900730
6-0 6-3,19900730
3-6 6-4 6-0,19900730
6-4 6-2,19900730
6-1 6-3,19900730
7-6 7-6,19900730
6-3 6-2,19900730
6-2 6-3,19900730
7-6 6-2,19900730
6-2 6-2,19900730
6-3 7-6 6-2,19900827
6-3 6-7 7-6 6-4,19900827
6-2 6-4 6-3,19900827
6-4 6-4 6-1,19900827
7-6 6-2 3-6 6-2,19900827
6-3 6-1 6-0,19900827
7-5 7-5 6-4,19900827
6-3 6-4 6-3,19900827
6-4 7-5 6-3,19900827
7-5 6-4 6-2,19900827
6-4 6-2 6-2,19900827
7-6 7-6 6-4,19900827
6-4 6-2 6-4,19900827
6-2 6-4 6-4,19900827
2-6 6-4 7-5 7-6,19900827
7-6 6-4 6-4,19900827
7-5 6-2 6-2,19900827
6-4 6-2 7-5,19900827
6-2 7-5 6-4,19900827
3-6 6-2 6-1 6-0,19900827
7-5 6-0 7-5,19900827
7-5 6-7 7-5 6-0,19900827
6-3 3-6 6-1 6-2,19900827
6-4 6-0 5-7 6-1,19900827
6-1 7-5 6-1,19900827
6-1 6-2 6-2,19900827
6-2 4-6 6-2 3-6,19900827
3-6 7-6 6-4 6-0,19900827
7-5 3-6 6-3 7-5,19900827
7-5 7-6 6-3,19900827
2-6 7-5 RET,19900827
5-7 6-4 6-0 3-0 RET,19900827
6-3 3-6 6-3 6-3,19900827
6-3 7-5 6-4,19900827
6-3 6-4 1-6 2-6 7-5,19900827
7-6 7-6 6-2,19900827
6-4 6-1 6-1,19900827
6-0 6-7 6-2 6-3,19900827
7-6 6-4 3-6 6-4,19900827
6-0 6-2 6-3,19900827
6-4 6-4 3-6 6-4,19900827
